country,latitude,longitude,temp_mean,temp_std,temp_min,temp_max,country_encoded
Sri Lanka,6.9315336936936935,79.84822414414414,30.149729729729728,1.8585190036991635,22.2,33.4,157
Sudan,12.156187050359712,24.464532374100717,30.274460431654674,4.1477221227368375,17.25,39.6,158
Suriname,5.832662635379062,-55.16733736462094,24.313718411552344,1.4418290950633101,20.1,30.3,159
Sweden,59.33266378378379,18.05,11.141981981981983,8.049545564209732,-7.7,28.2,160
Switzerland,46.89895783783784,7.621506306306306,12.353963963963963,8.90206302695522,-11.3,32.6,161
Syria,33.5,36.3,23.558483754512636,9.427817054106592,-0.9,42.3,162
Tajikistan,38.56,68.7731481081081,23.98846846846847,11.023999598365474,-5.2,43.2,163
Tanzania,-6.182658992805755,35.75,26.023561151079136,2.6963643687132595,19.0,33.3,164
Thailand,18.773612230215825,100.78219136690647,30.8261690647482,2.6912727623330013,24.7,37.75,165
Tonga,-21.13265211009174,-175.2,23.33669724770642,2.210715487988975,16.1,28.2,166
Trinidad and Tobago,10.65,-61.51734332129964,25.30216606498195,1.5094502793968034,21.1,30.4,167
Tunisia,36.8022582278481,10.179758047016275,23.377938517179025,7.42878152983059,7.1,40.6,168
Turkey,39.550683453237404,27.6267654676259,18.616456834532375,9.706439482290026,-2.25,36.8,169
Turkmenistan,37.949550359712234,58.395230935251796,24.132014388489207,11.186266527211423,0.1,42.5,170
Tuvalu,-8.517341007194245,179.21734100719425,28.701258992805755,0.9102708424835656,25.1,30.4,171
Uganda,0.31644828828828825,32.56644828828829,25.734594594594597,2.7606164564869053,18.1,32.8,172
Ukraine,50.432658992805756,30.517341007194243,14.495323741007194,10.68413725595155,-6.4,37.2,173
United Arab Emirates,24.467341007194243,54.36734100719425,33.52410071942446,6.577493299788018,18.0,46.4,174
United Kingdom,51.51765487364621,-0.10692707581227437,13.193682310469315,6.374960608761987,-1.9,32.8,175
United States of America,48.063752554744525,-123.022251459854,9.002509124087592,3.761666720655097,-2.8,24.925,176
Uruguay,-34.858469729729734,-56.17064432432433,13.736936936936937,5.272042054442821,0.3,27.2,177
Uzbekistan,41.317341007194244,69.25,23.39622302158273,11.625100372973266,-3.6,42.3,178
Vanuatu,-17.732683121597095,168.3173168784029,24.59600725952813,2.2461426393510386,17.1,30.4,179
Vatican City,41.90322302158274,12.45241726618705,20.138489208633093,8.79414796521627,2.1,37.7,180
Venezuela,10.5,-66.9173444846293,23.182459312839057,3.4633013527072696,15.2,30.3,181
Vietnam,21.088090647482016,105.00138489208632,27.21097122302158,4.819408598075749,13.5,38.2,182
Yemen,15.353787050359712,44.207341007194245,22.78794964028777,3.451415498256256,13.2,29.4,183
Zambia,-15.417341007194246,28.282658992805757,25.191187050359712,4.513021563588812,14.0,37.4,184
Zimbabwe,-17.81822093862816,31.043800722021658,23.91859205776173,4.066992904735639,10.2,34.8,185
